NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
256,14-04-2022,21:02:07,34.9767,46.8974,10,2.3,Kuleh Sareh - Sanandaj - Iran
257,15-04-2022,2:03:15,33.7639,46.1896,5,2.8,Ilam - Iran
258,15-04-2022,6:47:32,33.2183,46.2336,10,2.8,Ilam - Iran
259,15-04-2022,7:27:20,33.593,45.2629,10,2.6,Dawud - Baladrooz
260,15-04-2022,14:53:37,34.3889,45.8627,10,2.5,Kermanshah - Iran
261,16-04-2022,3:19:22,35.4701,45.5085,8,3.2,Damrkan - Arbat - Sulaimanyah 
262,16-04-2022,15:42:24,34.6258,45.3929,15,2.5,Sangar-i Zhuru - Kalar - Garmian
263,16-04-2022,18:48:19,34.5196,45.4443,15,3.2,Salah Agha - Kalar - Garmian
264,16-04-2022,19:00:25,34.5552,45.3828,15,4,Salah Agha - Kalar - Garmian
265,17-04-2022,2:06:55,34.7395,45.0619,15,2.9,Kifri - Garmian
266,17-04-2022,8:25:00,35.2202,46.601,5,2.5,Mariwan - Kurdistan Iran
267,17-04-2022,20:58:21,33.7531,45.6733,5,2.7,Kermanshah - Iran
268,17-04-2022,23:32:46,35.3842,45.3228,7,1.8,Dolan-i Saroo  - Sulaimanyah
269,18-04-2022,5:23:00,33.7088,45.5662,5,2.8,Qazanya - Mandali
270,18-04-2022,10:14:09,33.8085,45.1902,5,2.8,Jasim 'Ajil - Baladrooz
271,18-04-2022,13:43:40,33.8181,45.375,5,3.1,Baba Guyi - Baladrooz
272,18-04-2022,15:41:12,33.8637,45.0793,5,3.4,Abulla - Baladrooz
273,18-04-2022,16:10:38,33.881,45.2692,5,2.8,Bahiyah  - Baladrooz - Mandali
274,18-04-2022,16:32:59,33.8658,45.5334,5,2.7,Baba Guyi - Baladrooz
275,19-04-2022,0:54:30,34.6557,45.3485,5,3.5,Kalar - Garmian
276,19-04-2022,1:01:14,34.655,45.4224,13.2,2,Taza de - Kalar - Garmian
277,19-04-2022,1:18:43,34.5813,45.2029,5,2.5,Salah Agha - Kalar - Garmian
278,19-04-2022,2:54:04,34.5143,45.1599,15,2.2,Gulajo - Kifri - Garmian
279,19-04-2022,3:00:46,33.7878,46.1054,11.7,2.5,Ilam - Iran
280,19-04-2022,11:23:33,34.7688,45.1416,5,2.5,Kifri - Garmian
281,19-04-2022,13:56:26,33.6547,45.5267,11.6,2.7,kazaneah - Baladrooz
282,20-04-2022,3:55:49,34.6209,45.377,5,3.2,Salah Agha - Kalar - Garmian
283,20-04-2022,4:05:13,34.6094,45.3746,5,2.2,Salah Agha - Kalar - Garmian
284,20-04-2022,6:02:33,33.1779,46.0128,10,2.9,Badra Spend - Badra
285,20-04-2022,14:14:18,35.329,45.6167,11.6,2.8,Namal  - Darbandihkan
286,20-04-2022,23:30:36,36.8661,48.8447,5,3.7,Zanjan - Iran
